4K,#genre#
CCTV1综合[1920*1080],http://221.179.217.9//otttv.bj.chinamobile.com/PLTV/88888888/224/3221226431/1.m3u8
CCTV1综合[1920*1080],http://111.13.42.42/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226154/1.m3u8
CCTV1综合[1920*1080],http://39.130.215.158:6610/gitv_live/G_CCTV-1-CQ/
CCTV1综合[1920*1080],http://39.135.139.196:6610/PLTV/88888888/224/3221225501/2/index.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://182.138.51.79/PLTV/88888920/224/3221225792/index.m3u8
CCTV1综合[1920*1080],http://112.17.40.145/PLTV/88888888/224/3221226541/index.m3u8
CCTV1综合[1920*1080],http://39.134.156.140/PLTV/88888888/224/3221225658/index.m3u8
CCTV1综合[1920*1080],http://39.134.156.140/PLTV/88888888/224/3221225591/index.m3u8
CCTV1综合[1920*1080],http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221226030/1/index.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://39.134.185.235/PLTV/88888888/224/3221226154/index.m3u8
CCTV1综合[1920*1080],http://39.134.156.15/PLTV/88888888/224/3221225658/.m3u8
CCTV1综合[1920*1080],http://120.221.5.107:8089/PLTV/88888888/224/3221225859/1.m3u8
CCTV1综合[1920*1080],http://39.135.38.13/PLTV/88888888/224/3221226481/index.m3u8
CCTV1综合[1920*1080],http://39.135.139.194:6610/PLTV/88888888/224/3221225844/1/index.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://61.151.179.192/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225490/index.m3u8
CCTV1综合[1920*1080],http://118.123.60.14:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=035&Provider_id=&Pcontent_id=index.m3u8
CCTV1综合[1920*1080],http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221225804/index.m3u8
CCTV1综合[1920*1080],http://39.135.248.150/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226235/2.m3u8
CCTV1综合[1920*1080],http://39.134.19.28/PLTV/88888888/224/3221225792/index.m3u8
CCTV1综合[1920*1080],http://39.135.139.214:6610/PLTV/88888888/224/3221225501/2/index.m3u8
